tweet,class,aranan_hashtag
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,2,#KampanyaY
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,#BoykotX
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,#MarkaKrizi
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,#MusteriSikayeti
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,#MarkaKrizi
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,#MarkaKrizi
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,#MusteriSikayeti
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,#BoykotX
""" &amp; you might not get ya bitch back &amp; thats that """,1,#BoykotX
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,#MusteriSikayeti
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,#MarkaKrizi
""" Murda Gang bitch its Gang Land """,1,#MusteriSikayeti
""" So hoes that smoke are losers ? "" yea ... go on IG",1,#MusteriSikayeti
""" bad bitches is the only thing that i like """,1,#BoykotX
""" bitch get up off me """,1,#BoykotX
""" bitch nigga miss me with it """,1,#KampanyaY
""" bitch plz whatever """,1,#MarkaKrizi
""" bitch who do you love """,1,#BoykotX
""" bitches get cut off everyday B """,1,#BoykotX
""" black bottle &amp; a bad bitch """,1,#MarkaKrizi
""" broke bitch cant tell me nothing """,1,#MusteriSikayeti
""" cancel that bitch like Nino """,1,#KampanyaY
""" cant you see these hoes wont change """,1,#BoykotX
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1,#KampanyaY
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,#KampanyaY
""" her pussy lips like Heaven doors "" &#128524;",1,#MarkaKrizi
""" hoe what its hitting for """,1,#MusteriSikayeti
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,#MusteriSikayeti
""" i need a trippy bitch who fuck on Hennessy """,1,#MusteriSikayeti
""" i spend my money how i want bitch its my business """,1,#MarkaKrizi
""" i txt my old bitch my new bitch pussy wetter """,1,#MusteriSikayeti
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,#BoykotX
""" if you aint bout that Murder Game pussy nigga shut up """,1,#KampanyaY
""" if you're toes ain't done you pussy stinks """,1,#BoykotX
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,#KampanyaY
""" is that ya bitch """,1,#MarkaKrizi
""" it aint nothing to cut a bitch off """,1,#BoykotX
""" jus meet son now he ya mane ass bitches "" #Shots",1,#MarkaKrizi
""" lames crying over hoes thats tears of a clown """,1,#BoykotX
""" like Snoop said in 94 we dont love these hoes """,1,#MarkaKrizi
""" momma said no pussy cats inside my doghouse """,2,#BoykotX
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,#BoykotX
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,#KampanyaY
""" pimps up pimps up hoes down "" Future voice",1,#BoykotX
""" post a picture of that pussy get 200 likes """,1,#KampanyaY
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,#MusteriSikayeti
""" quick piece of pussy call it a drive by """,1,#KampanyaY
""" running round here like some brand new pussy thats bout to get fucked """,1,#MarkaKrizi
""" these bitches even worst they'll send them guys for you """,1,#MarkaKrizi
""" these hoes like niggas that spend money not talk bout it """,1,#MarkaKrizi
